suite,model,method,policy,total_budget,allocated_tasks,verified_successes,success_rate,budget_used,oracle_successes,regret_to_oracle
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,23552,115,56,0.486957,23552,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,47104,115,56,0.486957,47104,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,70656,115,57,0.495652,70656,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,94208,115,58,0.504348,94208,59,1
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,117760,115,56,0.486957,117760,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,141312,115,56,0.486957,141312,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,164864,115,55,0.478261,164864,59,4
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,188416,115,55,0.478261,188416,59,4
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,211968,115,56,0.486957,211968,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,policy_b,235520,115,57,0.495652,235520,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,23552,115,54,0.469565,23552,59,5
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,47104,115,57,0.495652,46848,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,70656,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,94208,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,117760,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,141312,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,164864,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,188416,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,211968,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,235520,115,57,0.495652,55808,59,2
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,23552,115,55,0.478261,23552,59,4
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,47104,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,70656,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,94208,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,117760,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,141312,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,164864,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,188416,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,211968,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,policy_b,235520,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,23552,115,55,0.478261,23552,59,4
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,47104,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,70656,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,94208,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,117760,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,141312,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,164864,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,188416,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,211968,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,policy_b,235520,115,56,0.486957,29440,59,3
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,23552,115,53,0.460870,23424,59,6
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,47104,115,53,0.460870,46848,59,6
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,70656,115,53,0.460870,69888,59,6
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,94208,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,117760,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,141312,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,164864,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,188416,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,211968,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,policy_b,235520,115,52,0.452174,83328,59,7
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,23552,115,33,0.286957,23488,59,26
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,47104,115,48,0.417391,46784,59,11
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,70656,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,94208,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,117760,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,141312,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,164864,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,188416,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,211968,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,policy_b,235520,115,57,0.495652,58880,59,2
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,policy_b,0,0,0,0.000000,0,0,0
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,policy_b,23552,42,19,0.452381,23552,59,40
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,policy_b,47104,77,34,0.441558,47104,59,25
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,policy_b,70656,106,46,0.433962,70656,59,13
