suite,model,n_eval_tasks,n_calibration_tasks,calibration_task_ids_in_eval,n_with_usage_forecast,usage_forecast_coverage,corr_predicted_total_visible_tokens_to_observed_first_success_budget,corr_predicted_unconstrained_output_tokens_to_observed_first_success_budget,success_forecast_ranking_accuracy,token_usage_proxy_ranking_accuracy,raw_success_brier,raw_success_ece,token_proxy_calibrated_brier,token_proxy_calibrated_ece,notes
paper_evalplus_humaneval_full,claude-3-haiku,115,49,0,115,1.000000,-0.043424,-0.043424,0.588794,0.699430,0.325415,0.248942,0.240559,0.052218,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,115,49,0,115,1.000000,0.260344,0.260344,0.526243,0.681400,0.211370,0.187391,0.181956,0.064428,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,115,49,0,115,1.000000,0.253233,0.253233,0.589171,0.638161,0.159347,0.118623,0.169479,0.062195,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,115,49,0,115,1.000000,0.208275,0.208275,0.568260,0.548184,0.191254,0.123609,0.178723,0.064811,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_mbpp_full,claude-3-haiku,262,116,0,262,1.000000,0.245894,0.245894,0.480579,0.678774,0.294152,0.236253,0.222130,0.037867,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,262,116,0,262,1.000000,-0.297044,-0.297044,0.396552,0.396552,0.444500,0.576393,0.018448,0.018448,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,262,116,0,262,1.000000,-0.022896,-0.022896,0.386700,0.642857,0.460855,0.538130,0.060798,0.015549,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,262,116,0,262,1.000000,NA,NA,NA,NA,0.405058,0.527595,0.000000,0.000000,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_math_core,claude-3-haiku,709,291,0,709,1.000000,0.450777,0.450777,0.538231,0.687951,0.255815,0.268463,0.190535,0.014896,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_math_core,DeepSeek-V3-0324,709,291,0,709,1.000000,0.491110,0.491110,0.737880,0.754353,0.142577,0.101374,0.141656,0.005516,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_math_core,gemini-2.0-flash-001,709,291,0,709,1.000000,0.650327,0.650327,0.789865,0.793469,0.129536,0.054048,0.145281,0.014302,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
paper_math_core,gemini-2.0-flash-lite-001,709,291,0,709,1.000000,0.443510,0.443510,0.748349,0.678625,0.152379,0.072104,0.181908,0.017911,"token-use proxy uses total-visible forecast when present, otherwise unconstrained-output forecast"
