suite,model,method,source_method,policy,budget_fraction,target_total_budget,selected_total_budget,budget_used,budget_slack_tokens,strict_budget_feasible,allocated_tasks,verified_successes,success_rate,oracle_successes,regret_to_oracle
paper_evalplus_humaneval_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,0.25,58880,47104,47104,11776,1,115,95,0.826087,103,8
paper_evalplus_humaneval_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,0.50,117760,117760,117760,0,1,115,98,0.852174,103,5
paper_evalplus_humaneval_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,0.75,176640,164864,117760,58880,1,115,98,0.852174,103,5
paper_evalplus_humaneval_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,1.00,235520,235520,117760,117760,1,115,98,0.852174,103,5
paper_evalplus_humaneval_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,0.25,58880,47104,47104,11776,1,23,19,0.826087,103,84
paper_evalplus_humaneval_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,0.50,117760,117760,116736,1024,1,57,46,0.807018,103,57
paper_evalplus_humaneval_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,0.75,176640,164864,163840,12800,1,80,67,0.837500,103,36
paper_evalplus_humaneval_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,1.00,235520,235520,235520,0,1,115,98,0.852174,103,5
paper_evalplus_humaneval_full,DeepSeek-V3-0324,oracle,oracle,policy_b,0.25,58880,47104,15616,43264,1,103,103,1.000000,103,0
paper_evalplus_humaneval_full,DeepSeek-V3-0324,oracle,oracle,policy_b,0.50,117760,117760,15616,102144,1,103,103,1.000000,103,0
paper_evalplus_humaneval_full,DeepSeek-V3-0324,oracle,oracle,policy_b,0.75,176640,164864,15616,161024,1,103,103,1.000000,103,0
paper_evalplus_humaneval_full,DeepSeek-V3-0324,oracle,oracle,policy_b,1.00,235520,235520,15616,219904,1,103,103,1.000000,103,0
paper_evalplus_humaneval_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,0.25,58880,47104,47104,11776,1,82,55,0.670732,103,48
paper_evalplus_humaneval_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,0.50,117760,117760,66368,51392,1,115,81,0.704348,103,22
paper_evalplus_humaneval_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,0.75,176640,164864,66368,110272,1,115,81,0.704348,103,22
paper_evalplus_humaneval_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,1.00,235520,235520,66368,169152,1,115,81,0.704348,103,22
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,58880,47104,47104,11776,1,115,93,0.808696,103,10
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,117760,117760,60416,57344,1,115,95,0.826087,103,8
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,176640,164864,60416,116224,1,115,95,0.826087,103,8
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,235520,235520,60416,175104,1,115,95,0.826087,103,8
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,0.25,58880,47104,47104,11776,1,115,96,0.834783,103,7
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,0.50,117760,117760,117760,0,1,115,98,0.852174,103,5
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,0.75,176640,164864,164864,11776,1,115,97,0.843478,103,6
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,1.00,235520,235520,235520,0,1,115,98,0.852174,103,5
paper_evalplus_humaneval_full,claude-3-haiku,best_simple_prior,prompt_length_bin_calibration,policy_b,0.25,58880,47104,46848,12032,1,115,53,0.460870,59,6
paper_evalplus_humaneval_full,claude-3-haiku,best_simple_prior,prompt_length_bin_calibration,policy_b,0.50,117760,117760,83328,34432,1,115,52,0.452174,59,7
paper_evalplus_humaneval_full,claude-3-haiku,best_simple_prior,prompt_length_bin_calibration,policy_b,0.75,176640,164864,83328,93312,1,115,52,0.452174,59,7
paper_evalplus_humaneval_full,claude-3-haiku,best_simple_prior,prompt_length_bin_calibration,policy_b,1.00,235520,235520,83328,152192,1,115,52,0.452174,59,7
paper_evalplus_humaneval_full,claude-3-haiku,max_budget,max_budget,policy_b,0.25,58880,47104,47104,11776,1,23,9,0.391304,59,50
paper_evalplus_humaneval_full,claude-3-haiku,max_budget,max_budget,policy_b,0.50,117760,117760,116736,1024,1,57,23,0.403509,59,36
paper_evalplus_humaneval_full,claude-3-haiku,max_budget,max_budget,policy_b,0.75,176640,164864,163840,12800,1,80,36,0.450000,59,23
paper_evalplus_humaneval_full,claude-3-haiku,max_budget,max_budget,policy_b,1.00,235520,235520,235520,0,1,115,57,0.495652,59,2
paper_evalplus_humaneval_full,claude-3-haiku,oracle,oracle,policy_b,0.25,58880,47104,9024,49856,1,59,59,1.000000,59,0
paper_evalplus_humaneval_full,claude-3-haiku,oracle,oracle,policy_b,0.50,117760,117760,9024,108736,1,59,59,1.000000,59,0
paper_evalplus_humaneval_full,claude-3-haiku,oracle,oracle,policy_b,0.75,176640,164864,9024,167616,1,59,59,1.000000,59,0
paper_evalplus_humaneval_full,claude-3-haiku,oracle,oracle,policy_b,1.00,235520,235520,9024,226496,1,59,59,1.000000,59,0
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,random_budget,policy_b,0.25,58880,47104,47104,11776,1,77,34,0.441558,59,25
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,random_budget,policy_b,0.50,117760,117760,77568,40192,1,115,50,0.434783,59,9
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,random_budget,policy_b,0.75,176640,164864,77568,99072,1,115,50,0.434783,59,9
paper_evalplus_humaneval_full,claude-3-haiku,random_budget,random_budget,policy_b,1.00,235520,235520,77568,157952,1,115,50,0.434783,59,9
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,58880,47104,46848,12032,1,115,57,0.495652,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,117760,117760,55808,61952,1,115,57,0.495652,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,176640,164864,55808,120832,1,115,57,0.495652,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,235520,235520,55808,179712,1,115,57,0.495652,59,2
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,0.25,58880,47104,47104,11776,1,115,56,0.486957,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,0.50,117760,117760,117760,0,1,115,56,0.486957,59,3
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,0.75,176640,164864,164864,11776,1,115,55,0.478261,59,4
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,1.00,235520,235520,235520,0,1,115,57,0.495652,59,2
paper_evalplus_humaneval_full,gemini-2.0-flash-001,best_simple_prior,prompt_length_bin_calibration,policy_b,0.25,58880,47104,47104,11776,1,112,87,0.776786,91,4
paper_evalplus_humaneval_full,gemini-2.0-flash-001,best_simple_prior,prompt_length_bin_calibration,policy_b,0.50,117760,117760,48128,69632,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,best_simple_prior,prompt_length_bin_calibration,policy_b,0.75,176640,164864,48128,128512,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,best_simple_prior,prompt_length_bin_calibration,policy_b,1.00,235520,235520,48128,187392,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,0.25,58880,47104,47104,11776,1,23,18,0.782609,91,73
paper_evalplus_humaneval_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,0.50,117760,117760,116736,1024,1,57,39,0.684211,91,52
paper_evalplus_humaneval_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,0.75,176640,164864,163840,12800,1,80,58,0.725000,91,33
