suite,model,method,n_calibration_tasks,n_eval_tasks,brier,ece,regret,brier_ci,ece_ci,regret_ci
paper_math_core,claude-3-haiku,self_forecast_raw,291,709,0.255815,0.268463,0.035261,"0.256 [0.242, 0.270]","0.268 [0.247, 0.294]","0.035 [0.024, 0.049]"
paper_math_core,claude-3-haiku,self_forecast_histogram_recalibrated,291,709,0.172722,0.017176,0.035261,"0.173 [0.166, 0.178]","0.017 [0.010, 0.040]","0.035 [0.020, 0.048]"
paper_math_core,claude-3-haiku,constant_by_budget_calibration,291,709,0.179862,0.017506,0.040903,"0.180 [0.175, 0.186]","0.018 [0.012, 0.039]","0.041 [0.028, 0.056]"
paper_math_core,claude-3-haiku,source_by_budget_calibration,291,709,0.144385,0.023396,0.043724,"0.144 [0.134, 0.156]","0.023 [0.010, 0.046]","0.044 [0.029, 0.060]"
paper_math_core,claude-3-haiku,prompt_length_bin_calibration,291,709,0.178008,0.027019,0.035261,"0.178 [0.173, 0.183]","0.027 [0.022, 0.047]","0.035 [0.023, 0.048]"
paper_math_core,claude-3-haiku,learned_logistic_recalibrator,291,709,0.143401,0.053449,0.035261,"0.143 [0.132, 0.154]","0.053 [0.047, 0.070]","0.035 [0.023, 0.049]"
paper_math_core,DeepSeek-V3-0324,self_forecast_raw,291,709,0.142577,0.101374,0.021157,"0.143 [0.135, 0.151]","0.101 [0.089, 0.115]","0.021 [0.013, 0.032]"
paper_math_core,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,291,709,0.123560,0.012195,0.022567,"0.124 [0.117, 0.131]","0.012 [0.008, 0.029]","0.023 [0.011, 0.035]"
paper_math_core,DeepSeek-V3-0324,constant_by_budget_calibration,291,709,0.163632,0.007659,0.091678,"0.164 [0.158, 0.171]","0.008 [0.005, 0.024]","0.092 [0.072, 0.114]"
paper_math_core,DeepSeek-V3-0324,source_by_budget_calibration,291,709,0.121228,0.008752,0.018336,"0.121 [0.114, 0.128]","0.009 [0.008, 0.025]","0.018 [0.008, 0.028]"
paper_math_core,DeepSeek-V3-0324,prompt_length_bin_calibration,291,709,0.161697,0.011617,0.073343,"0.162 [0.154, 0.170]","0.012 [0.011, 0.031]","0.073 [0.057, 0.090]"
paper_math_core,DeepSeek-V3-0324,learned_logistic_recalibrator,291,709,0.112294,0.026723,0.022567,"0.112 [0.106, 0.120]","0.027 [0.022, 0.041]","0.023 [0.013, 0.032]"
paper_math_core,gemini-2.0-flash-001,self_forecast_raw,291,709,0.129536,0.054048,0.021157,"0.130 [0.120, 0.138]","0.054 [0.044, 0.067]","0.021 [0.010, 0.031]"
paper_math_core,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,291,709,0.126582,0.017041,0.023977,"0.127 [0.119, 0.134]","0.017 [0.013, 0.030]","0.024 [0.013, 0.035]"
paper_math_core,gemini-2.0-flash-001,constant_by_budget_calibration,291,709,0.163906,0.014901,0.035261,"0.164 [0.155, 0.172]","0.015 [0.010, 0.034]","0.035 [0.021, 0.050]"
paper_math_core,gemini-2.0-flash-001,source_by_budget_calibration,291,709,0.133829,0.012784,0.021157,"0.134 [0.126, 0.142]","0.013 [0.010, 0.028]","0.021 [0.011, 0.034]"
paper_math_core,gemini-2.0-flash-001,prompt_length_bin_calibration,291,709,0.164845,0.028719,0.025388,"0.165 [0.156, 0.173]","0.029 [0.020, 0.048]","0.025 [0.016, 0.038]"
paper_math_core,gemini-2.0-flash-001,learned_logistic_recalibrator,291,709,0.121250,0.019351,0.023977,"0.121 [0.112, 0.130]","0.019 [0.016, 0.034]","0.024 [0.013, 0.035]"
paper_math_core,gemini-2.0-flash-lite-001,self_forecast_raw,291,709,0.152379,0.072104,0.028209,"0.152 [0.146, 0.161]","0.072 [0.058, 0.087]","0.028 [0.017, 0.041]"
paper_math_core,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,291,709,0.147196,0.030926,0.038082,"0.147 [0.139, 0.156]","0.031 [0.021, 0.045]","0.038 [0.025, 0.054]"
paper_math_core,gemini-2.0-flash-lite-001,constant_by_budget_calibration,291,709,0.177248,0.026605,0.046544,"0.177 [0.169, 0.186]","0.027 [0.018, 0.042]","0.047 [0.033, 0.061]"
paper_math_core,gemini-2.0-flash-lite-001,source_by_budget_calibration,291,709,0.147595,0.026087,0.028209,"0.148 [0.141, 0.156]","0.026 [0.018, 0.042]","0.028 [0.017, 0.039]"
paper_math_core,gemini-2.0-flash-lite-001,prompt_length_bin_calibration,291,709,0.176661,0.029791,0.046544,"0.177 [0.168, 0.186]","0.030 [0.024, 0.048]","0.047 [0.030, 0.062]"
paper_math_core,gemini-2.0-flash-lite-001,learned_logistic_recalibrator,291,709,0.138489,0.028696,0.028209,"0.138 [0.131, 0.147]","0.029 [0.024, 0.046]","0.028 [0.016, 0.038]"
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,49,115,0.325415,0.248942,0.017391,"0.325 [0.294, 0.359]","0.249 [0.198, 0.309]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,49,115,0.242406,0.053094,0.017391,"0.242 [0.236, 0.250]","0.053 [0.026, 0.123]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,49,115,0.241127,0.053120,0.026087,"0.241 [0.237, 0.245]","0.053 [0.018, 0.133]","0.026 [0.002, 0.061]"
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,49,115,0.241127,0.053120,0.026087,"0.241 [0.236, 0.246]","0.053 [0.019, 0.132]","0.026 [0.000, 0.052]"
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,49,115,0.238279,0.101793,0.060870,"0.238 [0.217, 0.263]","0.102 [0.056, 0.171]","0.061 [0.026, 0.104]"
paper_evalplus_humaneval_full,claude-3-haiku,learned_logistic_recalibrator,49,115,0.222285,0.055558,0.017391,"0.222 [0.210, 0.234]","0.056 [0.035, 0.131]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_raw,49,115,0.211370,0.187391,0.043478,"0.211 [0.189, 0.230]","0.187 [0.158, 0.219]","0.043 [0.009, 0.078]"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,49,115,0.160353,0.065803,0.069565,"0.160 [0.125, 0.200]","0.066 [0.021, 0.123]","0.070 [0.026, 0.113]"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,constant_by_budget_calibration,49,115,0.165622,0.072789,0.043478,"0.166 [0.127, 0.203]","0.073 [0.029, 0.124]","0.043 [0.009, 0.078]"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,source_by_budget_calibration,49,115,0.165622,0.072789,0.043478,"0.166 [0.129, 0.204]","0.073 [0.024, 0.122]","0.043 [0.009, 0.087]"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,prompt_length_bin_calibration,49,115,0.172219,0.117636,0.060870,"0.172 [0.136, 0.217]","0.118 [0.082, 0.177]","0.061 [0.026, 0.104]"
paper_evalplus_humaneval_full,DeepSeek-V3-0324,learned_logistic_recalibrator,49,115,0.167624,0.100384,0.043478,"0.168 [0.128, 0.204]","0.100 [0.072, 0.141]","0.043 [0.009, 0.085]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_raw,49,115,0.159347,0.118623,0.034783,"0.159 [0.132, 0.190]","0.119 [0.088, 0.165]","0.035 [0.009, 0.070]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,49,115,0.152293,0.070781,0.026087,"0.152 [0.124, 0.179]","0.071 [0.038, 0.116]","0.026 [0.000, 0.052]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,constant_by_budget_calibration,49,115,0.151061,0.069920,0.017391,"0.151 [0.125, 0.181]","0.070 [0.026, 0.125]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,source_by_budget_calibration,49,115,0.151061,0.069920,0.017391,"0.151 [0.122, 0.180]","0.070 [0.024, 0.122]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,prompt_length_bin_calibration,49,115,0.141120,0.069798,0.026087,"0.141 [0.110, 0.170]","0.070 [0.037, 0.115]","0.026 [0.000, 0.061]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,learned_logistic_recalibrator,49,115,0.140364,0.077844,0.034783,"0.140 [0.116, 0.167]","0.078 [0.065, 0.124]","0.035 [0.009, 0.070]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_raw,49,115,0.191254,0.123609,0.017391,"0.191 [0.168, 0.214]","0.124 [0.106, 0.152]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,49,115,0.181402,0.082413,0.017391,"0.181 [0.155, 0.207]","0.082 [0.053, 0.136]","0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,constant_by_budget_calibration,49,115,0.178662,0.072050,0.052174,"0.179 [0.153, 0.205]","0.072 [0.035, 0.135]","0.052 [0.017, 0.102]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,source_by_budget_calibration,49,115,0.178662,0.072050,0.052174,"0.179 [0.155, 0.205]","0.072 [0.037, 0.130]","0.052 [0.017, 0.096]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,prompt_length_bin_calibration,49,115,0.179928,0.075863,0.052174,"0.180 [0.151, 0.206]","0.076 [0.053, 0.130]","0.052 [0.017, 0.096]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,learned_logistic_recalibrator,49,115,0.186081,0.094986,0.017391,"0.186 [0.162, 0.213]","0.095 [0.077, 0.142]","0.017 [0.000, 0.043]"
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_raw,116,262,0.294152,0.236253,0.026718,"0.294 [0.274, 0.314]","0.236 [0.222, 0.254]","0.027 [0.008, 0.050]"
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_histogram_recalibrated,116,262,0.224940,0.034506,0.015267,"0.225 [0.211, 0.236]","0.035 [0.007, 0.092]","0.015 [0.004, 0.031]"
paper_evalplus_mbpp_full,claude-3-haiku,constant_by_budget_calibration,116,262,0.226045,0.037872,0.030534,"0.226 [0.214, 0.239]","0.038 [0.006, 0.089]","0.031 [0.011, 0.053]"
paper_evalplus_mbpp_full,claude-3-haiku,source_by_budget_calibration,116,262,0.226045,0.037872,0.030534,"0.226 [0.214, 0.239]","0.038 [0.005, 0.089]","0.031 [0.011, 0.057]"
paper_evalplus_mbpp_full,claude-3-haiku,prompt_length_bin_calibration,116,262,0.239249,0.104004,0.030534,"0.239 [0.221, 0.256]","0.104 [0.055, 0.157]","0.031 [0.011, 0.050]"
