suite,model,method,policy,total_budget,allocated_tasks,verified_successes,success_rate,budget_used,oracle_successes,regret_to_oracle
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,0,0,0,0.000000,0,0,0
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,43008,84,8,0.095238,43008,11,3
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,86016,105,9,0.085714,86016,11,2
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,129024,105,10,0.095238,129024,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,172032,105,9,0.085714,172032,11,2
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,215040,105,10,0.095238,215040,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,258048,105,10,0.095238,258048,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,301056,105,9,0.085714,301056,11,2
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,344064,105,10,0.095238,344064,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,387072,105,9,0.085714,387072,11,2
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,policy_b,430080,105,9,0.085714,430080,11,2
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,0,0,0,0.000000,0,0,0
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,43008,21,3,0.142857,43008,11,8
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,86016,44,4,0.090909,86016,11,7
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,129024,66,7,0.106061,129024,11,4
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,172032,90,9,0.100000,172032,11,2
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,215040,105,10,0.095238,207360,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,258048,105,10,0.095238,207360,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,301056,105,10,0.095238,207360,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,344064,105,10,0.095238,207360,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,387072,105,10,0.095238,207360,11,1
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,policy_b,430080,105,10,0.095238,207360,11,1
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,0,0,0,0.000000,0,0,0
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,43008,11,1,0.090909,43008,11,10
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,86016,21,2,0.095238,86016,11,9
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,129024,32,2,0.062500,129024,11,9
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,172032,42,3,0.071429,172032,11,8
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,215040,53,4,0.075472,215040,11,7
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,258048,63,7,0.111111,258048,11,4
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,301056,74,7,0.094595,301056,11,4
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,344064,84,8,0.095238,344064,11,3
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,387072,95,8,0.084211,387072,11,3
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,policy_b,430080,105,9,0.085714,430080,11,2
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,0,0,0,0.000000,0,0,0
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,43008,11,1,0.090909,43008,11,10
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,86016,21,2,0.095238,86016,11,9
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,129024,32,2,0.062500,129024,11,9
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,172032,42,3,0.071429,172032,11,8
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,215040,53,4,0.075472,215040,11,7
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,258048,63,7,0.111111,258048,11,4
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,301056,74,7,0.094595,301056,11,4
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,344064,84,8,0.095238,344064,11,3
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,387072,95,8,0.084211,387072,11,3
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,policy_b,430080,105,9,0.085714,430080,11,2
paper_bigcodebench_hard,claude-3-haiku,prompt_length_bin_calibration,policy_b,0,0,0,0.000000,0,0,0
paper_bigcodebench_hard,claude-3-haiku,prompt_length_bin_calibration,policy_b,43008,37,1,0.027027,43008,11,10
