suite,model,run_id,track,source,brier_ci,ece_ci,success_at_max_budget_ci,censoring_rate_ci,absolute_log_budget_error_ci,signed_log_budget_error_ci,underbudget_rate_ci,overbudget_rate_ci,regret_ci,normalized_regret_ci,forecast_monotonicity_violation_rate_ci,outcome_nonmonotonicity_rate_ci,task_budget_ranking_accuracy_ci,truncation_rate_ci,estimated_cost_usd,artifact_source
paper_evalplus_humaneval_full,DeepSeek-V3-0324,deepseek_v3_0324,all,all,"0.204 [0.188, 0.221]","0.195 [0.170, 0.221]","0.854 [0.799, 0.902]","0.085 [0.043, 0.134]","0.906 [0.825, 0.982]","0.813 [0.716, 0.913]","0.053 [0.020, 0.088]","0.840 [0.783, 0.892]","0.061 [0.030, 0.098]","0.061 [0.030, 0.098]","0.000 [0.000, 0.000]","0.116 [0.067, 0.165]","0.556 [0.508, 0.600]","0.134 [0.116, 0.154]",,artifacts
paper_evalplus_humaneval_full,claude-3-haiku,claude_3_haiku,all,all,"0.324 [0.296, 0.352]","0.244 [0.202, 0.291]","0.512 [0.439, 0.579]","0.463 [0.396, 0.537]","1.501 [1.391, 1.610]","1.422 [1.277, 1.558]","0.023 [0.000, 0.056]","0.943 [0.895, 0.988]","0.024 [0.006, 0.049]","0.024 [0.006, 0.049]","0.000 [0.000, 0.000]","0.061 [0.030, 0.098]","0.553 [0.503, 0.609]","0.107 [0.090, 0.125]",,artifacts
paper_evalplus_humaneval_full,gemini-2.0-flash-001,gemini_2_0_flash_001,all,all,"0.153 [0.127, 0.180]","0.097 [0.079, 0.140]","0.774 [0.707, 0.835]","0.183 [0.122, 0.244]","0.395 [0.341, 0.450]","0.126 [0.050, 0.208]","0.291 [0.219, 0.366]","0.485 [0.406, 0.573]","0.043 [0.012, 0.079]","0.043 [0.012, 0.079]","0.000 [0.000, 0.000]","0.055 [0.024, 0.091]","0.585 [0.521, 0.642]","0.362 [0.343, 0.380]",,artifacts
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,gemini_2_0_flash_lite_001,all,all,"0.194 [0.175, 0.214]","0.134 [0.115, 0.156]","0.774 [0.713, 0.835]","0.207 [0.152, 0.268]","0.874 [0.770, 0.973]","0.836 [0.723, 0.944]","0.023 [0.000, 0.051]","0.815 [0.744, 0.884]","0.018 [0.000, 0.043]","0.018 [0.000, 0.043]","0.000 [0.000, 0.000]","0.055 [0.024, 0.091]","0.541 [0.497, 0.586]","0.290 [0.268, 0.313]",,artifacts
paper_evalplus_mbpp_full,DeepSeek-V3-0324,deepseek_v3_0324,all,all,"0.447 [0.443, 0.450]","0.582 [0.572, 0.591]","0.011 [0.003, 0.021]","0.976 [0.960, 0.989]","1.155 [0.780, 1.525]","0.385 [-0.555, 1.188]","0.222 [0.000, 0.556]","0.667 [0.333, 1.000]","0.016 [0.005, 0.029]","0.016 [0.005, 0.029]","0.000 [0.000, 0.000]","0.016 [0.005, 0.029]","0.558 [0.511, 0.691]","0.052 [0.043, 0.063]",,artifacts
paper_evalplus_mbpp_full,claude-3-haiku,claude_3_haiku,all,all,"0.299 [0.282, 0.316]","0.239 [0.226, 0.255]","0.664 [0.622, 0.712]","0.312 [0.262, 0.354]","1.639 [1.586, 1.698]","1.628 [1.565, 1.692]","0.008 [0.000, 0.020]","0.981 [0.962, 0.996]","0.024 [0.011, 0.040]","0.024 [0.011, 0.040]","0.000 [0.000, 0.000]","0.095 [0.066, 0.127]","0.508 [0.462, 0.555]","0.044 [0.035, 0.054]",,artifacts
paper_evalplus_mbpp_full,gemini-2.0-flash-001,gemini_2_0_flash_001,all,all,"0.460 [0.448, 0.471]","0.536 [0.512, 0.558]","0.095 [0.066, 0.127]","0.897 [0.865, 0.929]","0.758 [0.607, 0.940]","0.586 [0.357, 0.821]","0.077 [0.000, 0.178]","0.744 [0.594, 0.880]","0.008 [0.000, 0.019]","0.008 [0.000, 0.019]","0.000 [0.000, 0.000]","0.024 [0.011, 0.040]","0.491 [0.401, 0.565]","0.210 [0.198, 0.222]",,artifacts
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,gemini_2_0_flash_lite_001,all,all,"0.404 [0.399, 0.408]","0.526 [0.521, 0.531]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",,,,,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",,"0.093 [0.079, 0.107]",,artifacts
paper_math_core,DeepSeek-V3-0324,deepseek_v3_0324,all,all,"0.142 [0.135, 0.148]","0.100 [0.089, 0.112]","0.816 [0.791, 0.842]","0.167 [0.143, 0.190]","0.413 [0.384, 0.442]","-0.191 [-0.232, -0.150]","0.347 [0.316, 0.380]","0.143 [0.119, 0.167]","0.017 [0.010, 0.025]","0.017 [0.010, 0.025]","0.000 [0.000, 0.000]","0.040 [0.029, 0.051]","0.749 [0.729, 0.761]","0.516 [0.504, 0.531]",,artifacts
paper_math_core,claude-3-haiku,claude_3_haiku,all,all,"0.255 [0.245, 0.265]","0.273 [0.254, 0.291]","0.529 [0.498, 0.558]","0.433 [0.403, 0.463]","0.379 [0.345, 0.412]","0.040 [-0.007, 0.083]","0.242 [0.207, 0.278]","0.261 [0.224, 0.295]","0.038 [0.026, 0.050]","0.038 [0.026, 0.050]","0.000 [0.000, 0.000]","0.068 [0.053, 0.084]","0.707 [0.688, 0.735]","0.401 [0.391, 0.411]",,artifacts
paper_math_core,gemini-2.0-flash-001,gemini_2_0_flash_001,all,all,"0.127 [0.120, 0.135]","0.048 [0.040, 0.061]","0.869 [0.849, 0.889]","0.111 [0.092, 0.130]","0.424 [0.395, 0.451]","0.117 [0.079, 0.154]","0.283 [0.252, 0.314]","0.386 [0.354, 0.417]","0.020 [0.012, 0.029]","0.020 [0.012, 0.029]","0.000 [0.000, 0.000]","0.046 [0.033, 0.060]","0.773 [0.763, 0.796]","0.436 [0.424, 0.448]",,artifacts
paper_math_core,gemini-2.0-flash-lite-001,gemini_2_0_flash_lite_001,all,all,"0.149 [0.142, 0.156]","0.070 [0.061, 0.082]","0.851 [0.829, 0.874]","0.122 [0.101, 0.141]","0.547 [0.517, 0.576]","0.300 [0.259, 0.339]","0.257 [0.230, 0.285]","0.624 [0.592, 0.657]","0.027 [0.018, 0.038]","0.027 [0.018, 0.038]","0.000 [0.000, 0.000]","0.050 [0.037, 0.064]","0.746 [0.729, 0.769]","0.429 [0.415, 0.441]",,artifacts
