suite,model,brier_ci,ece_ci,success_at_max_budget_ci,censoring_rate_ci,ranking_accuracy_ci,estimated_cost_usd
paper_evalplus_humaneval_full,DeepSeek-V3-0324,"0.204 [0.188, 0.221]","0.195 [0.170, 0.221]","0.854 [0.799, 0.902]","0.085 [0.043, 0.134]","0.556 [0.508, 0.600]",
paper_evalplus_humaneval_full,claude-3-haiku,"0.324 [0.296, 0.352]","0.244 [0.202, 0.291]","0.512 [0.439, 0.579]","0.463 [0.396, 0.537]","0.553 [0.503, 0.609]",
paper_evalplus_humaneval_full,gemini-2.0-flash-001,"0.153 [0.127, 0.180]","0.097 [0.079, 0.140]","0.774 [0.707, 0.835]","0.183 [0.122, 0.244]","0.585 [0.521, 0.642]",
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,"0.194 [0.175, 0.214]","0.134 [0.115, 0.156]","0.774 [0.713, 0.835]","0.207 [0.152, 0.268]","0.541 [0.497, 0.586]",
paper_evalplus_mbpp_full,DeepSeek-V3-0324,"0.447 [0.443, 0.450]","0.582 [0.572, 0.591]","0.011 [0.003, 0.021]","0.976 [0.960, 0.989]","0.558 [0.511, 0.691]",
paper_evalplus_mbpp_full,claude-3-haiku,"0.299 [0.282, 0.316]","0.239 [0.226, 0.255]","0.664 [0.622, 0.712]","0.312 [0.262, 0.354]","0.508 [0.462, 0.555]",
paper_evalplus_mbpp_full,gemini-2.0-flash-001,"0.460 [0.448, 0.471]","0.536 [0.512, 0.558]","0.095 [0.066, 0.127]","0.897 [0.865, 0.929]","0.491 [0.401, 0.565]",
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,"0.404 [0.399, 0.408]","0.526 [0.521, 0.531]","0.000 [0.000, 0.000]","1.000 [1.000, 1.000]",,
paper_math_core,DeepSeek-V3-0324,"0.142 [0.135, 0.148]","0.100 [0.089, 0.112]","0.816 [0.791, 0.842]","0.167 [0.143, 0.190]","0.749 [0.729, 0.761]",
paper_math_core,claude-3-haiku,"0.255 [0.245, 0.265]","0.273 [0.254, 0.291]","0.529 [0.498, 0.558]","0.433 [0.403, 0.463]","0.707 [0.688, 0.735]",
paper_math_core,gemini-2.0-flash-001,"0.127 [0.120, 0.135]","0.048 [0.040, 0.061]","0.869 [0.849, 0.889]","0.111 [0.092, 0.130]","0.773 [0.763, 0.796]",
paper_math_core,gemini-2.0-flash-lite-001,"0.149 [0.142, 0.156]","0.070 [0.061, 0.082]","0.851 [0.829, 0.874]","0.122 [0.101, 0.141]","0.746 [0.729, 0.769]",
