suite,model,absolute_log_budget_error_ci,signed_log_budget_error_ci,underbudget_rate_ci,overbudget_rate_ci,regret_ci,normalized_regret_ci,truncation_rate_ci
paper_evalplus_humaneval_full,DeepSeek-V3-0324,"0.906 [0.825, 0.982]","0.813 [0.716, 0.913]","0.053 [0.020, 0.088]","0.840 [0.783, 0.892]","0.061 [0.030, 0.098]","0.061 [0.030, 0.098]","0.134 [0.116, 0.154]"
paper_evalplus_humaneval_full,claude-3-haiku,"1.501 [1.391, 1.610]","1.422 [1.277, 1.558]","0.023 [0.000, 0.056]","0.943 [0.895, 0.988]","0.024 [0.006, 0.049]","0.024 [0.006, 0.049]","0.107 [0.090, 0.125]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,"0.395 [0.341, 0.450]","0.126 [0.050, 0.208]","0.291 [0.219, 0.366]","0.485 [0.406, 0.573]","0.043 [0.012, 0.079]","0.043 [0.012, 0.079]","0.362 [0.343, 0.380]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,"0.874 [0.770, 0.973]","0.836 [0.723, 0.944]","0.023 [0.000, 0.051]","0.815 [0.744, 0.884]","0.018 [0.000, 0.043]","0.018 [0.000, 0.043]","0.290 [0.268, 0.313]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,"1.155 [0.780, 1.525]","0.385 [-0.555, 1.188]","0.222 [0.000, 0.556]","0.667 [0.333, 1.000]","0.016 [0.005, 0.029]","0.016 [0.005, 0.029]","0.052 [0.043, 0.063]"
paper_evalplus_mbpp_full,claude-3-haiku,"1.639 [1.586, 1.698]","1.628 [1.565, 1.692]","0.008 [0.000, 0.020]","0.981 [0.962, 0.996]","0.024 [0.011, 0.040]","0.024 [0.011, 0.040]","0.044 [0.035, 0.054]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,"0.758 [0.607, 0.940]","0.586 [0.357, 0.821]","0.077 [0.000, 0.178]","0.744 [0.594, 0.880]","0.008 [0.000, 0.019]","0.008 [0.000, 0.019]","0.210 [0.198, 0.222]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,,,,,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.093 [0.079, 0.107]"
paper_math_core,DeepSeek-V3-0324,"0.413 [0.384, 0.442]","-0.191 [-0.232, -0.150]","0.347 [0.316, 0.380]","0.143 [0.119, 0.167]","0.017 [0.010, 0.025]","0.017 [0.010, 0.025]","0.516 [0.504, 0.531]"
paper_math_core,claude-3-haiku,"0.379 [0.345, 0.412]","0.040 [-0.007, 0.083]","0.242 [0.207, 0.278]","0.261 [0.224, 0.295]","0.038 [0.026, 0.050]","0.038 [0.026, 0.050]","0.401 [0.391, 0.411]"
paper_math_core,gemini-2.0-flash-001,"0.424 [0.395, 0.451]","0.117 [0.079, 0.154]","0.283 [0.252, 0.314]","0.386 [0.354, 0.417]","0.020 [0.012, 0.029]","0.020 [0.012, 0.029]","0.436 [0.424, 0.448]"
paper_math_core,gemini-2.0-flash-lite-001,"0.547 [0.517, 0.576]","0.300 [0.259, 0.339]","0.257 [0.230, 0.285]","0.624 [0.592, 0.657]","0.027 [0.018, 0.038]","0.027 [0.018, 0.038]","0.429 [0.415, 0.441]"
