suite,model,forecast_method,baseline_class,n_eval_tasks,brier,ece,regret,brier_low,brier_high,ece_low,ece_high,regret_low,regret_high,brier_ci,ece_ci,regret_ci,n_bootstrap,notes
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast,model_forecast_raw,164,0.3218854674796748,0.26106707317073174,0.0,,,,,,,0.322 [point],0.261 [point],0.000 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,claude-3-haiku,constant_empirical_prior,test_distribution_diagnostic,164,0.2524315490953095,0.0,0.3231707317073171,,,,,,,0.252 [point],0.000 [point],0.323 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,claude-3-haiku,source_empirical_prior,test_distribution_diagnostic,164,0.23944571994931438,9.25185853854297e-18,0.006097560975609756,,,,,,,0.239 [point],0.000 [point],0.006 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_empirical,calibration_split_baseline,164,0.26850325382893875,0.16381428450485153,0.0,,,,,,,0.269 [point],0.164 [point],0.000 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,claude-3-haiku,output_length_proxy,posthoc_diagnostic,164,0.2540650406504065,0.18699186991869915,0.018292682926829267,,,,,,,0.254 [point],0.187 [point],0.018 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,claude-3-haiku,single_budget,calibration_split_baseline,164,0.30280487804878053,0.23800813008130084,0.006097560975609756,,,,,,,0.303 [point],0.238 [point],0.006 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast,model_forecast_raw,164,0.3218854674796748,0.26106707317073174,0.0,,,,,,,0.322 [point],0.261 [point],0.000 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,claude-3-haiku,constant_empirical_prior,test_distribution_diagnostic,164,0.2524315490953095,0.0,0.3231707317073171,,,,,,,0.252 [point],0.000 [point],0.323 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,claude-3-haiku,source_empirical_prior,test_distribution_diagnostic,164,0.23944571994931438,9.25185853854297e-18,0.006097560975609756,,,,,,,0.239 [point],0.000 [point],0.006 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_empirical,calibration_split_baseline,164,0.26850325382893875,0.16381428450485153,0.0,,,,,,,0.269 [point],0.164 [point],0.000 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,claude-3-haiku,output_length_proxy,posthoc_diagnostic,164,0.2540650406504065,0.18699186991869915,0.018292682926829267,,,,,,,0.254 [point],0.187 [point],0.018 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,claude-3-haiku,single_budget,calibration_split_baseline,164,0.30280487804878053,0.23800813008130084,0.006097560975609756,,,,,,,0.303 [point],0.238 [point],0.006 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast,model_forecast_raw,164,0.17725233739837395,0.1707012195121951,0.006097560975609756,,,,,,,0.177 [point],0.171 [point],0.006 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,DeepSeek-V3-0324,constant_empirical_prior,test_distribution_diagnostic,164,0.1832668194008524,1.1102230246251565e-16,0.6402439024390244,,,,,,,0.183 [point],0.000 [point],0.640 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,DeepSeek-V3-0324,source_empirical_prior,test_distribution_diagnostic,164,0.13182029181878635,5.551115123125783e-17,0.006097560975609756,,,,,,,0.132 [point],0.000 [point],0.006 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,DeepSeek-V3-0324,prompt_length_empirical,calibration_split_baseline,164,0.19880011402158976,0.21401588239854263,0.006097560975609756,,,,,,,0.199 [point],0.214 [point],0.006 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,DeepSeek-V3-0324,output_length_proxy,posthoc_diagnostic,164,0.11178861788617886,0.15142276422764228,0.07926829268292683,,,,,,,0.112 [point],0.151 [point],0.079 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,DeepSeek-V3-0324,single_budget,calibration_split_baseline,164,0.2595121951219513,0.26016260162601623,0.018292682926829267,,,,,,,0.260 [point],0.260 [point],0.018 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast,model_forecast_raw,164,0.17725233739837395,0.1707012195121951,0.006097560975609756,,,,,,,0.177 [point],0.171 [point],0.006 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,DeepSeek-V3-0324,constant_empirical_prior,test_distribution_diagnostic,164,0.1832668194008524,1.1102230246251565e-16,0.6402439024390244,,,,,,,0.183 [point],0.000 [point],0.640 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,DeepSeek-V3-0324,source_empirical_prior,test_distribution_diagnostic,164,0.13182029181878635,5.551115123125783e-17,0.006097560975609756,,,,,,,0.132 [point],0.000 [point],0.006 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,DeepSeek-V3-0324,prompt_length_empirical,calibration_split_baseline,164,0.19880011402158976,0.21401588239854263,0.006097560975609756,,,,,,,0.199 [point],0.214 [point],0.006 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,DeepSeek-V3-0324,output_length_proxy,posthoc_diagnostic,164,0.11178861788617886,0.15142276422764228,0.07926829268292683,,,,,,,0.112 [point],0.151 [point],0.079 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,DeepSeek-V3-0324,single_budget,calibration_split_baseline,164,0.2595121951219513,0.26016260162601623,0.018292682926829267,,,,,,,0.260 [point],0.260 [point],0.018 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast,model_forecast_raw,164,0.13702388211382113,0.06769308943089433,0.018292682926829267,,,,,,,0.137 [point],0.068 [point],0.018 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini-2.0-flash-001,constant_empirical_prior,test_distribution_diagnostic,164,0.25017712228761413,0.0,0.8109756097560976,,,,,,,0.250 [point],0.000 [point],0.811 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini-2.0-flash-001,source_empirical_prior,test_distribution_diagnostic,164,0.13602318491475027,0.0,0.03048780487804878,,,,,,,0.136 [point],0.000 [point],0.030 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,gemini-2.0-flash-001,prompt_length_empirical,calibration_split_baseline,164,0.15009827721164345,0.13754154246696737,0.018292682926829267,,,,,,,0.150 [point],0.138 [point],0.018 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,gemini-2.0-flash-001,output_length_proxy,posthoc_diagnostic,164,0.1443089430894309,0.08638211382113817,0.2682926829268293,,,,,,,0.144 [point],0.086 [point],0.268 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,gemini-2.0-flash-001,single_budget,calibration_split_baseline,164,0.17048780487804882,0.026422764227642254,0.024390243902439025,,,,,,,0.170 [point],0.026 [point],0.024 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast,model_forecast_raw,164,0.13702388211382113,0.06769308943089433,0.018292682926829267,,,,,,,0.137 [point],0.068 [point],0.018 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini-2.0-flash-001,constant_empirical_prior,test_distribution_diagnostic,164,0.25017712228761413,0.0,0.8109756097560976,,,,,,,0.250 [point],0.000 [point],0.811 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini-2.0-flash-001,source_empirical_prior,test_distribution_diagnostic,164,0.13602318491475027,0.0,0.03048780487804878,,,,,,,0.136 [point],0.000 [point],0.030 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,gemini-2.0-flash-001,prompt_length_empirical,calibration_split_baseline,164,0.15009827721164345,0.13754154246696737,0.018292682926829267,,,,,,,0.150 [point],0.138 [point],0.018 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,gemini-2.0-flash-001,output_length_proxy,posthoc_diagnostic,164,0.1443089430894309,0.08638211382113817,0.2682926829268293,,,,,,,0.144 [point],0.086 [point],0.268 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,gemini-2.0-flash-001,single_budget,calibration_split_baseline,164,0.17048780487804882,0.026422764227642254,0.024390243902439025,,,,,,,0.170 [point],0.026 [point],0.024 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast,model_forecast_raw,164,0.1620417682926829,0.10694105691056914,0.024390243902439025,,,,,,,0.162 [point],0.107 [point],0.024 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,constant_empirical_prior,test_distribution_diagnostic,164,0.25075096560461635,0.0,0.7987804878048781,,,,,,,0.251 [point],0.000 [point],0.799 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,source_empirical_prior,test_distribution_diagnostic,164,0.14350684381547418,0.053905431692353734,0.036585365853658534,,,,,,,0.144 [point],0.054 [point],0.037 [point],,leave-one-task-out empirical success rate at the same budget within source group
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,prompt_length_empirical,calibration_split_baseline,164,0.15578617525733576,0.13652528230436575,0.024390243902439025,,,,,,,0.156 [point],0.137 [point],0.024 [point],,metadata-only curve from prompt length
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,output_length_proxy,posthoc_diagnostic,164,0.14888211382113822,0.07977642276422767,0.24390243902439024,,,,,,,0.149 [point],0.080 [point],0.244 [point],,post-hoc output-token proxy; interpret as diagnostic
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,single_budget,calibration_split_baseline,164,0.1710975609756098,0.018495934959349633,0.024390243902439025,,,,,,,0.171 [point],0.018 [point],0.024 [point],,threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast,model_forecast_raw,164,0.1620417682926829,0.10694105691056914,0.024390243902439025,,,,,,,0.162 [point],0.107 [point],0.024 [point],,model-provided pre-execution probability curve
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,constant_empirical_prior,test_distribution_diagnostic,164,0.25075096560461635,0.0,0.7987804878048781,,,,,,,0.251 [point],0.000 [point],0.799 [point],,leave-one-task-out empirical success rate applied at every budget
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,source_empirical_prior,test_distribution_diagnostic,164,0.14350684381547418,0.053905431692353734,0.036585365853658534,,,,,,,0.144 [point],0.054 [point],0.037 [point],,leave-one-task-out empirical success rate at the same budget within source group
