suite,model,forecast_method,baseline_class,n_eval_tasks,brier,ece,regret,brier_low,brier_high,ece_low,ece_high,regret_low,regret_high,brier_ci,ece_ci,regret_ci,n_bootstrap,notes
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_raw,model_forecast_raw,115,0.33657347826086953,0.2783333333333333,0.0,0.2900301195652174,0.3824715253623188,0.21645869565217404,0.3439764492753623,0.0,0.0,"0.337 [0.290, 0.382]","0.278 [0.216, 0.344]","0.000 [0.000, 0.000]",1000,raw model pre-execution forecast on heldout evaluation tasks
paper_evalplus_humaneval_full,claude-3-haiku,self_forecast_histogram_recalibrated,model_forecast_recalibrated,115,0.2480473393034267,0.08416421053377938,0.034782608695652174,0.23087330648852658,0.2646461631183676,0.03412977724284865,0.1680129098483626,0.008695652173913044,0.06956521739130435,"0.248 [0.231, 0.265]","0.084 [0.034, 0.168]","0.035 [0.009, 0.070]",1000,histogram recalibration fit only on calibration tasks
paper_evalplus_humaneval_full,claude-3-haiku,constant_by_budget_calibration,calibration_split_baseline,115,0.2451557020323658,0.08686779059449866,0.008695652173913044,0.22793076858072425,0.2607723834875565,0.014378142561372388,0.16512866015971608,0.0,0.034782608695652174,"0.245 [0.228, 0.261]","0.087 [0.014, 0.165]","0.009 [0.000, 0.035]",1000,empirical success by budget fit on calibration tasks
paper_evalplus_humaneval_full,claude-3-haiku,source_by_budget_calibration,calibration_split_baseline,115,0.2451557020323658,0.08686779059449866,0.008695652173913044,0.2283522415177251,0.2615717032154477,0.01481810115350497,0.16223010943507843,0.0,0.026304347826086757,"0.245 [0.228, 0.262]","0.087 [0.015, 0.162]","0.009 [0.000, 0.026]",1000,source and budget prior fit on calibration tasks with global fallback
paper_evalplus_humaneval_full,claude-3-haiku,prompt_length_bin_calibration,calibration_split_baseline,115,0.23421763972620363,0.055255453081540035,0.05217391304347826,0.21124489016205095,0.2582787337583122,0.04274176548089592,0.1442619675010979,0.017391304347826087,0.09565217391304348,"0.234 [0.211, 0.258]","0.055 [0.043, 0.144]","0.052 [0.017, 0.096]",1000,prompt-length quantile-bin prior fit on calibration tasks
paper_evalplus_humaneval_full,claude-3-haiku,single_budget_midpoint,calibration_split_baseline,115,0.3034782608695653,0.2391304347826086,0.008695652173913044,0.29130434782608705,0.31393478260869573,0.21884057971014487,0.2565579710144927,0.0,0.02608695652173913,"0.303 [0.291, 0.314]","0.239 [0.219, 0.257]","0.009 [0.000, 0.026]",1000,pre-execution threshold curve at the middle budget
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_raw,model_forecast_raw,115,0.1817323188405797,0.1674637681159421,0.008695652173913044,0.16143759782608696,0.20429390579710147,0.1459681159420291,0.1936409420289855,0.0,0.02608695652173913,"0.182 [0.161, 0.204]","0.167 [0.146, 0.194]","0.009 [0.000, 0.026]",1000,raw model pre-execution forecast on heldout evaluation tasks
paper_evalplus_humaneval_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,model_forecast_recalibrated,115,0.1401054327858224,0.07022648097912715,0.02608695652173913,0.10296640798847133,0.1765547109995992,0.028729080898605635,0.11895068071251683,0.0,0.06086956521739131,"0.140 [0.103, 0.177]","0.070 [0.029, 0.119]","0.026 [0.000, 0.061]",1000,histogram recalibration fit only on calibration tasks
paper_evalplus_humaneval_full,DeepSeek-V3-0324,constant_by_budget_calibration,calibration_split_baseline,115,0.1406925858187108,0.05584146702159107,0.02608695652173913,0.10433647815825534,0.18461598126384537,0.021730996746524546,0.1152617568766635,0.0,0.06086956521739131,"0.141 [0.104, 0.185]","0.056 [0.022, 0.115]","0.026 [0.000, 0.061]",1000,empirical success by budget fit on calibration tasks
paper_evalplus_humaneval_full,DeepSeek-V3-0324,source_by_budget_calibration,calibration_split_baseline,115,0.1406925858187108,0.05584146702159107,0.02608695652173913,0.10579092950401099,0.17932390791276584,0.022208666075125557,0.11381248151434467,0.0,0.06086956521739131,"0.141 [0.106, 0.179]","0.056 [0.022, 0.114]","0.026 [0.000, 0.061]",1000,source and budget prior fit on calibration tasks with global fallback
paper_evalplus_humaneval_full,DeepSeek-V3-0324,prompt_length_bin_calibration,calibration_split_baseline,115,0.15372891606256978,0.11170914653784214,0.06086956521739131,0.11792103326098193,0.19053135873200033,0.07980402045820519,0.16216233479724784,0.02608695652173913,0.10434782608695652,"0.154 [0.118, 0.191]","0.112 [0.080, 0.162]","0.061 [0.026, 0.104]",1000,prompt-length quantile-bin prior fit on calibration tasks
paper_evalplus_humaneval_full,DeepSeek-V3-0324,single_budget_midpoint,calibration_split_baseline,115,0.2608695652173914,0.2434782608695653,0.02608695652173913,0.247804347826087,0.2739130434782609,0.19130434782608702,0.29275362318840586,0.0,0.06086956521739131,"0.261 [0.248, 0.274]","0.243 [0.191, 0.293]","0.026 [0.000, 0.061]",1000,pre-execution threshold curve at the middle budget
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_raw,model_forecast_raw,115,0.13868536231884057,0.07618840579710148,0.017391304347826087,0.11664968478260869,0.1614422463768116,0.06179565217391314,0.10603152173913036,0.0,0.043478260869565216,"0.139 [0.117, 0.161]","0.076 [0.062, 0.106]","0.017 [0.000, 0.043]",1000,raw model pre-execution forecast on heldout evaluation tasks
