suite,model,raw_self_forecast_brier_ci,best_recalibrated_method,best_recalibrated_brier_ci,best_simple_prior_method,best_simple_prior_brier_ci,best_regret_method,best_regret_ci
paper_evalplus_humaneval_full,DeepSeek-V3-0324,"0.182 [0.161, 0.204]",self_forecast_histogram_recalibrated,"0.140 [0.103, 0.177]",constant_by_budget_calibration,"0.141 [0.104, 0.185]",self_forecast_raw,"0.009 [0.000, 0.026]"
paper_evalplus_humaneval_full,claude-3-haiku,"0.337 [0.290, 0.382]",self_forecast_histogram_recalibrated,"0.248 [0.231, 0.265]",prompt_length_bin_calibration,"0.234 [0.211, 0.258]",self_forecast_raw,"0.000 [0.000, 0.000]"
paper_evalplus_humaneval_full,gemini-2.0-flash-001,"0.139 [0.117, 0.161]",self_forecast_histogram_recalibrated,"0.132 [0.108, 0.160]",prompt_length_bin_calibration,"0.133 [0.106, 0.164]",self_forecast_raw,"0.017 [0.000, 0.043]"
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,"0.162 [0.144, 0.179]",self_forecast_histogram_recalibrated,"0.141 [0.119, 0.163]",prompt_length_bin_calibration,"0.142 [0.117, 0.170]",constant_by_budget_calibration,"0.017 [0.000, 0.043]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,"0.262 [0.246, 0.278]",self_forecast_histogram_recalibrated,"0.181 [0.156, 0.208]",constant_by_budget_calibration,"0.179 [0.154, 0.205]",self_forecast_histogram_recalibrated,"0.004 [0.000, 0.012]"
paper_evalplus_mbpp_full,claude-3-haiku,"0.281 [0.263, 0.299]",self_forecast_histogram_recalibrated,"0.213 [0.200, 0.228]",constant_by_budget_calibration,"0.213 [0.198, 0.227]",constant_by_budget_calibration,"0.004 [0.000, 0.011]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,"0.200 [0.184, 0.216]",self_forecast_histogram_recalibrated,"0.175 [0.159, 0.192]",constant_by_budget_calibration,"0.182 [0.165, 0.200]",constant_by_budget_calibration,"0.008 [0.000, 0.019]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,"0.281 [0.268, 0.294]",self_forecast_histogram_recalibrated,"0.195 [0.180, 0.214]",constant_by_budget_calibration,"0.204 [0.184, 0.224]",constant_by_budget_calibration,"0.019 [0.004, 0.038]"
paper_math_core,DeepSeek-V3-0324,"0.157 [0.148, 0.167]",self_forecast_histogram_recalibrated,"0.135 [0.127, 0.142]",source_by_budget_calibration,"0.124 [0.116, 0.131]",self_forecast_histogram_recalibrated,"0.014 [0.006, 0.024]"
paper_math_core,claude-3-haiku,"0.265 [0.251, 0.278]",self_forecast_histogram_recalibrated,"0.180 [0.174, 0.186]",source_by_budget_calibration,"0.153 [0.141, 0.167]",source_by_budget_calibration,"0.017 [0.008, 0.027]"
paper_math_core,gemini-2.0-flash-001,"0.137 [0.126, 0.146]",self_forecast_histogram_recalibrated,"0.134 [0.124, 0.145]",source_by_budget_calibration,"0.140 [0.132, 0.149]",source_by_budget_calibration,"0.006 [0.000, 0.011]"
paper_math_core,gemini-2.0-flash-lite-001,"0.176 [0.168, 0.184]",self_forecast_histogram_recalibrated,"0.156 [0.147, 0.165]",source_by_budget_calibration,"0.155 [0.147, 0.164]",self_forecast_raw,"0.014 [0.006, 0.024]"
