suite,model,forecast_method,baseline_class,n_eval_tasks,brier,ece,regret,brier_low,brier_high,ece_low,ece_high,regret_low,regret_high,brier_ci,ece_ci,regret_ci,n_bootstrap,notes
paper_evalplus_humaneval_full,claude-3-haiku,test_distribution_leave_one_out_source,test_distribution_diagnostic,115,0.24140761259874835,0.08405797101449289,0.008695652173913044,0.23527623884272086,0.2476665897199138,0.05190090261886595,0.15119596999745746,0.0,0.02608695652173913,"0.241 [0.235, 0.248]","0.084 [0.052, 0.151]","0.009 [0.000, 0.026]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_humaneval_full,claude-3-haiku,output_length_proxy_posthoc,posthoc_diagnostic,115,0.2682971014492754,0.213768115942029,0.017391304347826087,0.2255253623188406,0.30744565217391306,0.12896739130434787,0.2927717391304348,0.0,0.043478260869565216,"0.268 [0.226, 0.307]","0.214 [0.129, 0.293]","0.017 [0.000, 0.043]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_humaneval_full,DeepSeek-V3-0324,test_distribution_leave_one_out_source,test_distribution_diagnostic,115,0.1395557607468965,3.2381504884900395e-17,0.02608695652173913,0.10690532984508057,0.16934024571663076,0.005847953216374301,0.05994152046783627,0.0,0.05217391304347826,"0.140 [0.107, 0.169]","0.000 [0.006, 0.060]","0.026 [0.000, 0.052]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_humaneval_full,DeepSeek-V3-0324,output_length_proxy_posthoc,posthoc_diagnostic,115,0.1161231884057971,0.1427536231884058,0.05217391304347826,0.09293478260869566,0.14150362318840579,0.09199275362318844,0.18913043478260866,0.017391304347826087,0.09565217391304348,"0.116 [0.093, 0.142]","0.143 [0.092, 0.189]","0.052 [0.017, 0.096]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_humaneval_full,gemini-2.0-flash-001,test_distribution_leave_one_out_source,test_distribution_diagnostic,115,0.1399154627287772,0.0002173913043478475,0.02608695652173913,0.11716384930034213,0.16410784243535356,0.005642957030256794,0.059686943808797244,0.0,0.06086956521739131,"0.140 [0.117, 0.164]","0.000 [0.006, 0.060]","0.026 [0.000, 0.061]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_humaneval_full,gemini-2.0-flash-001,output_length_proxy_posthoc,posthoc_diagnostic,115,0.15018115942028987,0.08260869565217392,0.26956521739130435,0.12916666666666668,0.17481884057971014,0.07826086956521741,0.13335144927536227,0.19130434782608696,0.3565217391304348,"0.150 [0.129, 0.175]","0.083 [0.078, 0.133]","0.270 [0.191, 0.357]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,test_distribution_leave_one_out_source,test_distribution_diagnostic,115,0.14383974712397574,0.031209000762776537,0.034782608695652174,0.12141131005749818,0.16646313492222803,0.03181922196796336,0.08415840325451299,0.008695652173913044,0.06956521739130435,"0.144 [0.121, 0.166]","0.031 [0.032, 0.084]","0.035 [0.009, 0.070]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,output_length_proxy_posthoc,posthoc_diagnostic,115,0.15018115942028987,0.08405797101449279,0.23478260869565218,0.12771739130434784,0.17338768115942027,0.07898550724637682,0.13407608695652176,0.16521739130434782,0.3130434782608696,"0.150 [0.128, 0.173]","0.084 [0.079, 0.134]","0.235 [0.165, 0.313]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_mbpp_full,claude-3-haiku,test_distribution_leave_one_out_source,test_distribution_diagnostic,262,0.20910585575666826,0.0,0.003816793893129771,0.18833362692855363,0.231755870681092,0.0025542784163472736,0.06130268199233713,0.0,0.01154580152671747,"0.209 [0.188, 0.232]","0.000 [0.003, 0.061]","0.004 [0.000, 0.012]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_mbpp_full,claude-3-haiku,output_length_proxy_posthoc,posthoc_diagnostic,262,0.19099872773536897,0.02512722646310428,0.007633587786259542,0.1696803435114504,0.21644402035623408,0.008905852417302835,0.07857029262086518,0.0,0.019083969465648856,"0.191 [0.170, 0.216]","0.025 [0.009, 0.079]","0.008 [0.000, 0.019]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_mbpp_full,DeepSeek-V3-0324,test_distribution_leave_one_out_source,test_distribution_diagnostic,262,0.1801573670380646,0.05399569087381664,0.003816793893129771,0.1547222344553564,0.20496885444038304,0.03788033888060215,0.08940461914928877,0.0,0.011450381679389313,"0.180 [0.155, 0.205]","0.054 [0.038, 0.089]","0.004 [0.000, 0.011]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
