suite,model,method,source_method,policy,budget_fraction,target_total_budget,selected_total_budget,budget_used,allocated_tasks,verified_successes,success_rate,oracle_successes,regret_to_oracle
paper_canitedit_descriptive,mock-model,best_simple_prior,constant_by_budget_calibration,policy_b,0.25,2560,2048,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,best_simple_prior,constant_by_budget_calibration,policy_b,0.50,5120,5120,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,best_simple_prior,constant_by_budget_calibration,policy_b,0.75,7680,7168,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,best_simple_prior,constant_by_budget_calibration,policy_b,1.00,10240,10240,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,max_budget,max_budget,policy_b,0.25,2560,2048,2048,1,1,1.000000,1,0
paper_canitedit_descriptive,mock-model,max_budget,max_budget,policy_b,0.50,5120,5120,4096,2,1,0.500000,1,0
paper_canitedit_descriptive,mock-model,max_budget,max_budget,policy_b,0.75,7680,7168,6144,3,1,0.333333,1,0
paper_canitedit_descriptive,mock-model,max_budget,max_budget,policy_b,1.00,10240,10240,10240,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,oracle,oracle,policy_b,0.25,2560,2048,512,1,1,1.000000,1,0
paper_canitedit_descriptive,mock-model,oracle,oracle,policy_b,0.50,5120,5120,512,1,1,1.000000,1,0
paper_canitedit_descriptive,mock-model,oracle,oracle,policy_b,0.75,7680,7168,512,1,1,1.000000,1,0
paper_canitedit_descriptive,mock-model,oracle,oracle,policy_b,1.00,10240,10240,512,1,1,1.000000,1,0
paper_canitedit_descriptive,mock-model,random_budget,random_budget,policy_b,0.25,2560,2048,2048,4,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,random_budget,random_budget,policy_b,0.50,5120,5120,4096,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,random_budget,random_budget,policy_b,0.75,7680,7168,4096,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,random_budget,random_budget,policy_b,1.00,10240,10240,4096,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,2560,2048,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,5120,5120,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,7680,7168,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,10240,10240,640,5,0,0.000000,1,1
paper_canitedit_descriptive,mock-model,self_forecast_raw,self_forecast_raw,policy_b,0.25,2560,2048,2048,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,self_forecast_raw,self_forecast_raw,policy_b,0.50,5120,5120,5120,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,self_forecast_raw,self_forecast_raw,policy_b,0.75,7680,7168,7168,5,1,0.200000,1,0
paper_canitedit_descriptive,mock-model,self_forecast_raw,self_forecast_raw,policy_b,1.00,10240,10240,10240,5,1,0.200000,1,0
